"name","month","dnoc","bugfixes"
"dev78","2009-04",3,0
"dev1","2009-04",4,0
"dev49","2009-04",1,0
"dev1","2009-05",10,3
"dev1","2009-06",15,1
"dev79","2009-06",1,0
"dev79","2009-07",2,0
"dev78","2009-07",2,0
"dev1","2009-07",59,1
"dev49","2009-07",2,0
"dev50","2009-07",2,0
"dev1","2009-08",73,6
"dev79","2009-08",7,2
"dev78","2009-08",3,0
"dev1","2009-09",45,4
"dev78","2009-09",3,0
"dev50","2009-09",1,0
"dev1","2009-10",26,2
"dev49","2009-10",1,0
"dev78","2009-10",2,0
"dev50","2009-10",2,1
"dev9","2009-10",2,0
"dev79","2009-10",1,0
"dev79","2009-11",10,3
"dev1","2009-11",4,1
"dev78","2009-11",3,0
"dev80","2009-12",4,0
"dev78","2009-12",4,0
"dev1","2009-12",10,1
"dev79","2009-12",1,0
"dev1","2010-01",28,0
"dev10","2010-01",16,1
"dev78","2010-01",5,0
"dev11","2010-01",1,0
"dev9","2010-01",3,0
"dev1","2010-02",40,5
"dev10","2010-02",14,8
"dev79","2010-02",13,3
"dev50","2010-02",1,0
"dev9","2010-02",18,2
"dev77","2010-02",1,0
"dev10","2010-03",7,5
"dev1","2010-03",19,1
"dev11","2010-03",0,2
"dev78","2010-03",2,0
"dev49","2010-03",1,2
"dev9","2010-03",1,0
"dev79","2010-03",2,0
"dev1","2010-04",15,4
"dev9","2010-04",6,1
"dev10","2010-04",1,0
"dev10","2010-05",9,0
"dev78","2010-05",1,0
"dev1","2010-05",13,2
"dev77","2010-05",3,0
"dev49","2010-05",3,1
"dev79","2010-05",15,4
"dev1","2010-06",27,6
"dev79","2010-06",11,2
"dev50","2010-06",1,1
"dev1","2010-07",19,0
"dev79","2010-07",3,1
"dev78","2010-07",3,0
"dev50","2010-07",1,0
"dev1","2010-08",24,2
"dev50","2010-08",1,3
"dev79","2010-08",1,0
"dev49","2010-08",2,1
"dev80","2010-09",1,0
"dev1","2010-09",9,1
"dev79","2010-09",1,0
"dev1","2010-10",21,0
"dev10","2010-10",1,2
"dev78","2010-10",5,0
"dev11","2010-10",2,0
"dev10","2010-11",1,1
"dev50","2010-11",6,5
"dev79","2010-11",1,1
"dev1","2010-11",26,3
"dev78","2010-11",2,0
"dev1","2010-12",2,0
"dev10","2010-12",18,1
"dev79","2010-12",1,0
"dev10","2011-01",3,5
"dev79","2011-01",3,0
"dev1","2011-01",15,0
"dev50","2011-02",1,0
"dev1","2011-02",5,0
"dev9","2011-02",1,0
"dev10","2011-02",2,1
"dev10","2011-03",5,1
"dev1","2011-03",6,1
"dev50","2011-03",4,2
"dev79","2011-03",1,0
"dev9","2011-04",12,2
"dev79","2011-04",1,0
"dev1","2011-04",3,0
"dev50","2011-04",2,3
"dev10","2011-04",7,2
"dev1","2011-05",0,1
"dev79","2011-05",2,1
"dev1","2011-06",1,0
"dev79","2011-06",1,0
"dev1","2011-07",10,3
