"commentAuthor","month","nocomm"
"dev24","2007-09",1
"dev22","2007-02",2
"dev20","2007-01",1
"dev22","2006-06",2
"dev62","2006-07",1
"dev66","2006-07",1
"dev65","2006-12",2
"dev64","2006-12",24
"dev23","2006-10",6
"dev22","2006-12",1
"dev27","2006-12",1
"dev22","2005-12",5
"dev22","2006-09",4
"dev59","2006-10",2
"dev29","2006-10",1
"dev65","2006-10",3
"dev21","2006-09",1
"dev64","2006-09",2
"dev65","2006-09",1
"dev58","2006-08",1
"dev58","2006-01",3
"dev63","2006-07",1
"dev58","2005-11",3
"dev22","2006-01",1
"dev62","2005-12",1
"dev62","2006-01",2
"dev28","2006-05",3
"dev22","2005-11",1
"dev63","2006-03",1
"dev61","2006-01",1
"dev32","2006-04",2
